No.,Time,Source,Destination,Length,Protocol,TCP Delta,Sequence Number,TCP Segment Len,ACK,Calculated window size,Bytes in flight,Info,Phase
71,0.958561,192.168.10.184,192.168.10.196,1514,iPerf3,0.000057,87638,1460,1,262144,21900,52343  >  5201[BoundErrorUnreassembled Packet],
72,0.958561,192.168.10.184,192.168.10.196,1514,iPerf3,0,89098,1460,1,262144,23360,52343  >  5201[BoundErrorUnreassembled Packet],
73,0.958561,192.168.10.184,192.168.10.196,1514,iPerf3,0,90558,1460,1,262144,24820,52343  >  5201[BoundErrorUnreassembled Packet],
74,0.958562,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,92018,1460,1,262144,26280,52343  >  5201[BoundErrorUnreassembled Packet],
75,0.960054,192.168.10.196,192.168.10.184,54,TCP,0.001492,1,0,80338,212992,,5201  >  52343 [ACK] Seq=1 Ack=80338 Win=212992 Len=0,
76,0.960096,192.168.10.184,192.168.10.196,1514,iPerf3,0.000042,93478,1460,1,262144,14600,52343  >  5201[BoundErrorUnreassembled Packet],
77,0.960096,192.168.10.184,192.168.10.196,1514,iPerf3,0,94938,1460,1,262144,16060,52343  >  5201[BoundErrorUnreassembled Packet],
78,0.960096,192.168.10.184,192.168.10.196,1514,iPerf3,0,96398,1460,1,262144,17520,52343  >  5201[BoundErrorUnreassembled Packet],
79,0.960097,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,97858,1460,1,262144,18980,52343  >  5201[BoundErrorUnreassembled Packet],
80,0.960097,192.168.10.184,192.168.10.196,1514,iPerf3,0,99318,1460,1,262144,20440,52343  >  5201[BoundErrorUnreassembled Packet],
81,0.960097,192.168.10.184,192.168.10.196,1514,iPerf3,0,100778,1460,1,262144,21900,52343  >  5201[BoundErrorUnreassembled Packet],
82,0.960098,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,102238,1460,1,262144,23360,52343  >  5201[BoundErrorUnreassembled Packet],
83,0.960098,192.168.10.184,192.168.10.196,1514,iPerf3,0,103698,1460,1,262144,24820,52343  >  5201[BoundErrorUnreassembled Packet],
84,0.960098,192.168.10.184,192.168.10.196,1514,iPerf3,0,105158,1460,1,262144,26280,52343  >  5201[BoundErrorUnreassembled Packet],
85,0.960099,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,106618,1460,1,262144,27740,52343  >  5201[BoundErrorUnreassembled Packet],
86,0.960099,192.168.10.184,192.168.10.196,1514,iPerf3,0,108078,1460,1,262144,29200,52343  >  5201[BoundErrorUnreassembled Packet],
87,0.961039,192.168.10.196,192.168.10.184,54,TCP,0.00094,1,0,86178,212992,,5201  >  52343 [ACK] Seq=1 Ack=86178 Win=212992 Len=0,
88,0.961071,192.168.10.184,192.168.10.196,1514,iPerf3,0.000032,109538,1460,1,262144,24820,52343  >  5201[BoundErrorUnreassembled Packet],
89,0.961072,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,110998,1460,1,262144,26280,52343  >  5201[BoundErrorUnreassembled Packet],
90,0.961072,192.168.10.184,192.168.10.196,1514,iPerf3,0,112458,1460,1,262144,27740,52343  >  5201[BoundErrorUnreassembled Packet],
91,0.961072,192.168.10.184,192.168.10.196,1514,iPerf3,0,113918,1460,1,262144,29200,52343  >  5201[BoundErrorUnreassembled Packet],
92,0.961072,192.168.10.184,192.168.10.196,1514,iPerf3,0,115378,1460,1,262144,30660,52343  >  5201[BoundErrorUnreassembled Packet],
93,0.961073,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,116838,1460,1,262144,32120,52343  >  5201[BoundErrorUnreassembled Packet],
94,0.962944,192.168.10.196,192.168.10.184,54,TCP,0.001871,1,0,87638,212992,,5201  >  52343 [ACK] Seq=1 Ack=87638 Win=212992 Len=0,
95,0.962972,192.168.10.184,192.168.10.196,1514,iPerf3,0.000028,118298,1460,1,262144,32120,52343  >  5201[BoundErrorUnreassembled Packet],
96,0.962972,192.168.10.184,192.168.10.196,1514,iPerf3,0,119758,1460,1,262144,33580,52343  >  5201[BoundErrorUnreassembled Packet],
97,1.073041,192.168.10.196,192.168.10.184,54,TCP,0.110069,1,0,93478,212992,,5201  >  52343 [ACK] Seq=1 Ack=93478 Win=212992 Len=0,
98,1.073164,192.168.10.184,192.168.10.196,1514,iPerf3,0.000123,121218,1460,1,262144,29200,52343  >  5201[BoundErrorUnreassembled Packet],
99,1.073165,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,122678,1460,1,262144,30660,52343  >  5201[BoundErrorUnreassembled Packet],
